LoanID,DisbursedAmount,TermMonths,InterestRate,AnnualTurnover,DSCR,BureauScore,Sector,CollateralValue,PastDelinquencies,YearsInBusiness,LoanPurpose,State,ProprietorGender,MonthsOnBook,Defaulted
MSME100041,283000.0,12,15.71,1066000.0,0.75,790,Agriculture,461000.0,1,7.4,Purchase of new machinery to expand production capacity,Tamil Nadu,Male,28,0
MSME100042,349000.0,48,14.44,571000.0,1.14,816,Logistics,395000.0,0,7.7,Refinance existing high-interest debt and consolidate dues,Karnataka,Male,26,0
MSME100043,472000.0,84,13.86,2190000.0,1.26,743,Food Processing,132000.0,0,1.7,Refinance existing high-interest debt and consolidate dues,Punjab,Male,11,0
MSME100044,254000.0,24,12.5,524000.0,2.34,620,Textiles,149000.0,2,5.7,Expand textile weaving unit with additional looms,Uttar Pradesh,Male,10,0
MSME100045,725000.0,60,17.44,1967000.0,2.16,733,Food Processing,524000.0,0,3.2,Purchase of new machinery to expand production capacity,West Bengal,Male,31,0
MSME100046,201000.0,36,12.93,1164000.0,1.14,724,Agriculture,68000.0,2,3.4,Emergency funds after delayed receivables from buyers,Uttar Pradesh,Female,53,0
MSME100047,1108000.0,48,9.42,4091000.0,1.06,688,Textiles,755000.0,2,6.1,Purchase of new machinery to expand production capacity,Kerala,Female,24,0
MSME100048,702000.0,12,9.81,2706000.0,1.2,600,Retail Trade,405000.0,0,5.6,Upgrade delivery fleet and cold-storage units,Kerala,Male,39,1
MSME100049,199000.0,84,14.43,345000.0,1.85,652,Manufacturing,43000.0,0,0.4,Refinance existing high-interest debt and consolidate dues,Kerala,Female,45,1
MSME100050,1173000.0,36,8.61,2237000.0,0.66,745,Manufacturing,1110000.0,0,1.5,Refinance existing high-interest debt and consolidate dues,Gujarat,Female,28,0
MSME100051,639000.0,12,16.08,1379000.0,1.89,591,Construction,439000.0,1,5.8,Purchase of new machinery to expand production capacity,Kerala,Male,59,0
MSME100052,852000.0,60,11.53,2304000.0,1.23,701,Retail Trade,930000.0,0,5.9,Working capital for raw material procurement,Uttar Pradesh,Female,58,0
MSME100053,192000.0,84,12.75,1085000.0,1.05,578,Manufacturing,121000.0,0,1.1,Working capital for raw material procurement,Gujarat,Female,14,0
MSME100054,173000.0,84,10.28,737000.0,2.18,672,Logistics,253000.0,0,6.1,Working capital for raw material procurement,Maharashtra,Male,54,0
MSME100055,1396000.0,36,8.0,6780000.0,1.36,610,Manufacturing,1418000.0,0,2.6,Working capital for raw material procurement,Gujarat,Male,44,0
MSME100056,755000.0,36,11.94,3292000.0,1.14,572,Food Processing,660000.0,1,5.5,Refinance existing high-interest debt and consolidate dues,Maharashtra,Female,10,1
MSME100057,511000.0,24,11.06,1303000.0,1.6,699,Food Processing,844000.0,0,8.3,Refinance existing high-interest debt and consolidate dues,Tamil Nadu,Female,36,0
MSME100058,2686000.0,36,10.27,6123000.0,2.24,703,Logistics,4348000.0,1,6.1,Expand textile weaving unit with additional looms,Uttar Pradesh,Male,11,0
MSME100059,274000.0,36,15.84,950000.0,1.58,691,IT Services,308000.0,0,7.2,Refinance existing high-interest debt and consolidate dues,Karnataka,Male,26,0
MSME100060,281000.0,48,13.0,1352000.0,1.83,820,Construction,411000.0,0,5.6,Expand textile weaving unit with additional looms,West Bengal,Male,50,0
MSME100061,188000.0,48,14.61,380000.0,0.97,642,Manufacturing,330000.0,1,0.5,Working capital for raw material procurement,Uttar Pradesh,Male,20,1
MSME100062,818000.0,48,13.33,3245000.0,1.11,676,Manufacturing,1434000.0,1,3.3,Expand textile weaving unit with additional looms,Uttar Pradesh,Female,6,0
MSME100063,883000.0,36,17.91,1479000.0,0.62,667,Manufacturing,672000.0,0,4.6,Emergency funds after delayed receivables from buyers,Uttar Pradesh,Male,35,0
MSME100064,595000.0,60,13.62,1719000.0,1.5,631,Retail Trade,668000.0,0,9.1,Emergency funds after delayed receivables from buyers,Tamil Nadu,Male,34,0
MSME100065,2449000.0,24,15.12,12985000.0,1.33,741,Manufacturing,1159000.0,1,15.0,Purchase of new machinery to expand production capacity,Gujarat,Male,52,0
MSME100066,504000.0,84,10.72,1329000.0,1.66,703,IT Services,781000.0,0,7.2,Working capital for raw material procurement,Karnataka,Male,58,0
MSME100067,516000.0,24,12.11,1477000.0,1.28,793,Retail Trade,606000.0,1,3.0,Bridge a seasonal cash crunch ahead of festival demand,Gujarat,Male,41,0
MSME100068,413000.0,48,15.23,1481000.0,1.32,642,Textiles,408000.0,0,4.3,Working capital for raw material procurement,Gujarat,Female,25,0
MSME100069,1785000.0,24,10.12,8824000.0,1.11,691,Food Processing,1958000.0,0,1.3,Working capital for raw material procurement,Punjab,Male,47,1
MSME100070,988000.0,24,13.82,1836000.0,1.09,737,Construction,368000.0,2,3.8,Upgrade delivery fleet and cold-storage units,West Bengal,Male,29,0
MSME100071,841000.0,36,15.77,1727000.0,0.64,632,Manufacturing,1425000.0,1,6.4,Bridge a seasonal cash crunch ahead of festival demand,Punjab,Male,43,1
MSME100072,936000.0,12,13.97,3733000.0,0.83,691,Logistics,328000.0,0,4.1,Bridge a seasonal cash crunch ahead of festival demand,Uttar Pradesh,Male,49,0
MSME100073,239000.0,60,14.23,787000.0,0.51,701,Retail Trade,305000.0,0,4.4,Upgrade delivery fleet and cold-storage units,Punjab,Male,20,0
MSME100074,675000.0,12,15.04,1547000.0,1.18,739,Logistics,1082000.0,0,0.7,Refinance existing high-interest debt and consolidate dues,West Bengal,Female,23,0
MSME100075,989000.0,24,15.96,1652000.0,1.64,773,Logistics,1117000.0,1,5.1,Emergency funds after delayed receivables from buyers,Punjab,Male,54,0
MSME100076,381000.0,48,12.4,908000.0,2.4,702,Manufacturing,89000.0,0,4.5,Upgrade delivery fleet and cold-storage units,Tamil Nadu,Female,57,0
MSME100077,489000.0,60,10.39,1874000.0,1.51,672,Retail Trade,457000.0,1,3.8,Purchase of new machinery to expand production capacity,Karnataka,Male,2,1
MSME100078,872000.0,36,14.9,4631000.0,1.74,697,Retail Trade,601000.0,1,0.9,Emergency funds after delayed receivables from buyers,Gujarat,Female,10,1
MSME100079,965000.0,36,11.63,5028000.0,1.17,772,Manufacturing,1064000.0,2,4.1,Emergency funds after delayed receivables from buyers,Punjab,Male,33,0
MSME100080,332000.0,60,12.44,596000.0,1.79,651,Retail Trade,189000.0,0,0.9,Open a second retail outlet in the district,West Bengal,Male,23,0
MSME100081,368000.0,84,14.9,918000.0,0.91,740,Logistics,226000.0,1,3.0,Bridge a seasonal cash crunch ahead of festival demand,Kerala,Male,39,0
MSME100082,414000.0,48,12.52,946000.0,1.33,713,Construction,253000.0,1,15.0,Upgrade delivery fleet and cold-storage units,Tamil Nadu,Male,31,0
MSME100083,1608000.0,48,10.7,4042000.0,0.8,722,Retail Trade,2862000.0,1,5.1,Bridge a seasonal cash crunch ahead of festival demand,Uttar Pradesh,Male,56,0
MSME100084,1233000.0,60,15.55,4236000.0,2.84,772,Logistics,986000.0,1,4.8,Refinance existing high-interest debt and consolidate dues,Tamil Nadu,Male,38,0
MSME100085,610000.0,12,19.27,3292000.0,1.44,689,Manufacturing,611000.0,1,6.5,Refinance existing high-interest debt and consolidate dues,Karnataka,Male,39,0
MSME100086,124000.0,36,13.98,717000.0,0.98,748,Food Processing,152000.0,1,8.1,Working capital for raw material procurement,Maharashtra,Male,6,0
MSME100087,1242000.0,24,15.52,2942000.0,2.38,781,IT Services,286000.0,0,14.1,Purchase of new machinery to expand production capacity,West Bengal,Male,19,0
MSME100088,1474000.0,36,14.03,2656000.0,0.69,777,Manufacturing,1040000.0,0,4.4,Refinance existing high-interest debt and consolidate dues,Maharashtra,Male,52,0
MSME100089,171000.0,24,10.31,448000.0,0.96,736,Retail Trade,78000.0,0,4.8,Upgrade delivery fleet and cold-storage units,Maharashtra,Male,1,0
MSME100090,206000.0,12,17.05,1105000.0,1.79,696,Construction,261000.0,0,14.1,Purchase of new machinery to expand production capacity,West Bengal,Female,31,0
MSME100091,850000.0,84,13.93,3557000.0,0.91,699,Construction,282000.0,0,4.4,Purchase of new machinery to expand production capacity,Karnataka,Female,19,0
MSME100092,2132000.0,24,14.82,12738000.0,1.41,660,Retail Trade,3314000.0,1,1.1,Refinance existing high-interest debt and consolidate dues,Kerala,Female,56,0
MSME100093,232000.0,24,18.44,1067000.0,1.74,682,Food Processing,84000.0,1,6.8,Expand textile weaving unit with additional looms,West Bengal,Male,17,0
MSME100094,928000.0,60,10.62,4745000.0,0.43,764,Textiles,1055000.0,0,3.5,Working capital for raw material procurement,Tamil Nadu,Female,29,0
MSME100095,673000.0,60,14.03,2673000.0,1.16,721,Manufacturing,290000.0,0,6.0,Working capital for raw material procurement,Tamil Nadu,Female,53,1
MSME100096,260000.0,12,11.38,398000.0,2.81,622,Agriculture,94000.0,1,2.0,Refinance existing high-interest debt and consolidate dues,Maharashtra,Male,18,1
MSME100097,564000.0,84,18.5,2722000.0,2.53,745,Manufacturing,771000.0,2,8.5,Emergency funds after delayed receivables from buyers,Tamil Nadu,Male,38,0
MSME100098,707000.0,24,14.23,1674000.0,1.78,675,Food Processing,388000.0,1,4.9,Upgrade delivery fleet and cold-storage units,Punjab,Male,40,0
MSME100099,622000.0,48,12.62,2011000.0,1.92,695,Retail Trade,862000.0,2,6.7,Upgrade delivery fleet and cold-storage units,Kerala,Female,1,0
MSME100100,521000.0,36,11.34,2785000.0,0.79,652,Retail Trade,314000.0,1,4.9,Upgrade delivery fleet and cold-storage units,Gujarat,Male,5,1
MSME100101,1724000.0,36,11.29,3731000.0,2.09,689,Retail Trade,1555000.0,1,11.5,Refinance existing high-interest debt and consolidate dues,Tamil Nadu,Male,13,0
MSME100102,381000.0,48,13.65,862000.0,0.3,660,Construction,473000.0,2,4.7,Purchase of new machinery to expand production capacity,Punjab,Male,30,1
MSME100103,275000.0,36,11.82,1252000.0,3.46,799,Logistics,258000.0,0,8.1,Working capital for raw material procurement,Karnataka,Male,31,0
MSME100104,821000.0,24,15.41,3442000.0,1.39,641,Logistics,276000.0,1,4.3,Bridge a seasonal cash crunch ahead of festival demand,West Bengal,Male,52,0
MSME100105,256000.0,24,14.11,819000.0,1.8,640,Construction,420000.0,0,1.6,Expand textile weaving unit with additional looms,Punjab,Male,44,0
MSME100106,447000.0,24,12.34,1800000.0,0.79,636,Textiles,289000.0,1,1.1,Purchase of new machinery to expand production capacity,Maharashtra,Female,54,1
MSME100107,767000.0,12,9.75,3619000.0,1.78,774,Logistics,702000.0,4,4.4,Expand textile weaving unit with additional looms,Gujarat,Female,23,0
MSME100108,1263000.0,36,14.64,2627000.0,2.0,666,IT Services,1638000.0,1,1.5,Upgrade delivery fleet and cold-storage units,Karnataka,Male,54,0
MSME100109,399000.0,84,8.74,1746000.0,0.56,709,IT Services,150000.0,1,0.1,Purchase of new machinery to expand production capacity,Tamil Nadu,Male,19,1
MSME100110,426000.0,48,18.21,2179000.0,0.45,762,Construction,124000.0,1,6.7,Emergency funds after delayed receivables from buyers,Karnataka,Male,29,1
MSME100111,355000.0,84,10.99,2088000.0,3.09,618,Textiles,189000.0,1,3.1,Bridge a seasonal cash crunch ahead of festival demand,Punjab,Male,58,0
MSME100112,347000.0,36,15.72,603000.0,2.78,724,Construction,337000.0,2,9.0,Emergency funds after delayed receivables from buyers,Uttar Pradesh,Female,23,0
MSME100113,201000.0,36,16.04,1015000.0,1.44,711,Logistics,54000.0,2,1.9,Open a second retail outlet in the district,Maharashtra,Male,10,1
MSME100114,374000.0,60,15.8,1431000.0,0.95,620,Retail Trade,163000.0,1,3.3,Bridge a seasonal cash crunch ahead of festival demand,Kerala,Female,46,1
MSME100115,951000.0,36,10.38,2619000.0,0.69,653,Textiles,338000.0,1,5.0,Refinance existing high-interest debt and consolidate dues,West Bengal,Male,36,1
MSME100116,452000.0,12,17.11,2526000.0,0.97,657,Manufacturing,213000.0,1,1.6,Emergency funds after delayed receivables from buyers,Kerala,Male,44,1
MSME100117,389000.0,24,14.03,2086000.0,1.7,642,Agriculture,287000.0,0,1.7,Working capital for raw material procurement,Punjab,Female,9,0
MSME100118,285000.0,36,9.8,952000.0,1.0,699,Logistics,169000.0,0,2.5,Bridge a seasonal cash crunch ahead of festival demand,West Bengal,Male,22,0
MSME100119,173000.0,36,18.3,267000.0,2.01,587,Retail Trade,39000.0,0,2.7,Refinance existing high-interest debt and consolidate dues,Kerala,Male,49,1
MSME100120,697000.0,12,19.12,3220000.0,0.79,701,IT Services,1249000.0,0,3.2,Open a second retail outlet in the district,Gujarat,Male,2,0
MSME100121,216000.0,48,11.61,1123000.0,2.36,557,Construction,336000.0,1,1.7,Bridge a seasonal cash crunch ahead of festival demand,Maharashtra,Male,36,0
MSME100122,483000.0,24,18.02,2696000.0,1.61,708,Logistics,794000.0,0,1.3,Emergency funds after delayed receivables from buyers,Gujarat,Male,52,0
MSME100123,1022000.0,36,14.2,3051000.0,1.37,832,Retail Trade,314000.0,0,5.7,Expand textile weaving unit with additional looms,Uttar Pradesh,Male,16,0
MSME100124,521000.0,12,11.41,2396000.0,2.19,688,Manufacturing,369000.0,0,2.3,Bridge a seasonal cash crunch ahead of festival demand,Punjab,Male,2,0
MSME100125,1448000.0,84,16.25,5074000.0,1.52,660,Retail Trade,1832000.0,1,2.2,Open a second retail outlet in the district,Uttar Pradesh,Male,40,0
MSME100126,281000.0,48,13.55,1013000.0,2.05,612,Retail Trade,269000.0,0,4.0,Working capital for raw material procurement,Punjab,Male,8,0
MSME100127,408000.0,48,12.0,1374000.0,2.74,677,Retail Trade,631000.0,1,5.2,Emergency funds after delayed receivables from buyers,Kerala,Female,54,0
MSME100128,735000.0,36,17.37,2704000.0,0.81,741,Construction,951000.0,0,2.0,Working capital for raw material procurement,West Bengal,Male,13,1
MSME100129,1028000.0,84,11.65,5945000.0,1.22,664,Logistics,346000.0,0,8.4,Bridge a seasonal cash crunch ahead of festival demand,Kerala,Male,10,1
MSME100130,277000.0,12,13.57,648000.0,2.59,657,Retail Trade,358000.0,1,2.9,Emergency funds after delayed receivables from buyers,Kerala,Female,32,0
MSME100131,406000.0,48,11.9,686000.0,2.04,655,Textiles,183000.0,1,4.6,Bridge a seasonal cash crunch ahead of festival demand,Uttar Pradesh,Female,24,0
MSME100132,799000.0,48,8.0,2522000.0,0.52,757,Retail Trade,977000.0,0,11.2,Bridge a seasonal cash crunch ahead of festival demand,Karnataka,Male,46,0
MSME100133,1275000.0,12,15.69,6482000.0,0.47,674,Textiles,2079000.0,0,4.9,Upgrade delivery fleet and cold-storage units,West Bengal,Female,54,0
MSME100134,324000.0,48,12.48,1437000.0,3.13,705,Manufacturing,217000.0,1,3.0,Open a second retail outlet in the district,Uttar Pradesh,Male,37,0
MSME100135,443000.0,24,14.31,2585000.0,2.19,658,Manufacturing,264000.0,1,5.2,Refinance existing high-interest debt and consolidate dues,Uttar Pradesh,Male,6,0
MSME100136,401000.0,12,12.72,1356000.0,1.3,557,Logistics,481000.0,1,16.2,Bridge a seasonal cash crunch ahead of festival demand,West Bengal,Male,53,1
MSME100137,612000.0,60,11.24,3654000.0,3.17,584,IT Services,533000.0,1,10.2,Purchase of new machinery to expand production capacity,Kerala,Female,22,0
MSME100138,330000.0,84,8.39,1475000.0,0.81,730,Construction,528000.0,4,7.4,Upgrade delivery fleet and cold-storage units,Gujarat,Female,12,0
MSME100139,792000.0,60,16.53,3046000.0,2.29,668,Construction,1234000.0,1,1.0,Refinance existing high-interest debt and consolidate dues,Punjab,Male,59,0
MSME100140,103000.0,48,15.12,336000.0,0.65,661,Logistics,168000.0,1,3.7,Open a second retail outlet in the district,Tamil Nadu,Female,20,0
MSME100141,258000.0,48,11.56,420000.0,1.56,652,Logistics,327000.0,1,5.2,Emergency funds after delayed receivables from buyers,Kerala,Male,3,0
MSME100142,330000.0,36,11.71,877000.0,1.0,595,Retail Trade,544000.0,1,2.5,Purchase of new machinery to expand production capacity,Uttar Pradesh,Male,38,1
MSME100143,317000.0,60,14.35,1062000.0,1.23,636,Construction,427000.0,0,2.1,Refinance existing high-interest debt and consolidate dues,Kerala,Male,52,1
MSME100144,253000.0,12,13.51,1026000.0,0.91,645,Agriculture,442000.0,0,4.3,Working capital for raw material procurement,Uttar Pradesh,Male,16,1
MSME100145,685000.0,12,12.32,2549000.0,1.49,680,Manufacturing,1087000.0,0,2.8,Bridge a seasonal cash crunch ahead of festival demand,Uttar Pradesh,Male,42,0
MSME100146,1918000.0,48,15.23,4865000.0,0.71,795,Textiles,784000.0,0,4.3,Emergency funds after delayed receivables from buyers,Kerala,Male,39,1
MSME100147,777000.0,12,18.27,3266000.0,1.35,815,Logistics,965000.0,2,1.8,Expand textile weaving unit with additional looms,Maharashtra,Male,49,0
MSME100148,1892000.0,24,15.55,10233000.0,0.56,721,Food Processing,1422000.0,2,5.5,Open a second retail outlet in the district,Uttar Pradesh,Male,14,0
MSME100149,397000.0,84,12.27,774000.0,2.17,735,Agriculture,420000.0,0,2.2,Emergency funds after delayed receivables from buyers,Kerala,Female,14,1
MSME100150,207000.0,12,14.93,784000.0,1.61,756,Manufacturing,137000.0,0,13.3,Emergency funds after delayed receivables from buyers,Maharashtra,Male,17,0
MSME100151,561000.0,36,12.03,879000.0,2.4,809,Retail Trade,324000.0,0,0.7,Purchase of new machinery to expand production capacity,Kerala,Male,48,0
MSME100152,356000.0,48,16.07,1727000.0,2.62,668,Retail Trade,290000.0,2,6.3,Open a second retail outlet in the district,Tamil Nadu,Male,49,1
MSME100153,532000.0,36,15.9,2865000.0,0.86,710,IT Services,399000.0,0,12.0,Bridge a seasonal cash crunch ahead of festival demand,Tamil Nadu,Male,50,0
MSME100154,563000.0,48,17.27,1442000.0,2.26,781,Logistics,597000.0,0,2.0,Upgrade delivery fleet and cold-storage units,Gujarat,Male,44,0
MSME100155,1482000.0,12,14.54,6721000.0,1.52,743,Food Processing,2274000.0,0,4.4,Bridge a seasonal cash crunch ahead of festival demand,Uttar Pradesh,Male,7,0
MSME100156,1202000.0,12,12.63,1872000.0,1.07,723,Food Processing,1460000.0,1,11.2,Emergency funds after delayed receivables from buyers,Kerala,Female,40,0
MSME100157,334000.0,48,17.1,1291000.0,1.88,719,Construction,423000.0,2,1.6,Working capital for raw material procurement,Punjab,Female,43,0
MSME100158,1221000.0,24,14.36,5327000.0,1.87,600,Logistics,652000.0,1,6.0,Working capital for raw material procurement,Gujarat,Male,43,0
MSME100159,1574000.0,48,14.71,7501000.0,0.85,745,IT Services,1880000.0,0,7.7,Refinance existing high-interest debt and consolidate dues,West Bengal,Female,55,0
MSME100160,905000.0,48,13.92,4129000.0,1.62,592,IT Services,768000.0,0,5.3,Working capital for raw material procurement,Maharashtra,Male,23,0
MSME100161,829000.0,48,13.28,3975000.0,0.71,705,IT Services,994000.0,1,7.5,Expand textile weaving unit with additional looms,Uttar Pradesh,Female,52,0
MSME100162,1362000.0,24,8.8,4114000.0,1.15,818,Food Processing,828000.0,1,5.1,Purchase of new machinery to expand production capacity,Karnataka,Male,6,0
MSME100163,1017000.0,24,15.32,2137000.0,1.59,575,Construction,1002000.0,1,11.5,Expand textile weaving unit with additional looms,Punjab,Male,52,1
MSME100164,814000.0,84,15.04,3505000.0,0.96,782,Retail Trade,1333000.0,0,7.0,Refinance existing high-interest debt and consolidate dues,Tamil Nadu,Male,33,0
MSME100165,678000.0,36,15.88,2938000.0,0.41,668,Manufacturing,500000.0,0,3.4,Purchase of new machinery to expand production capacity,Maharashtra,Male,35,1
MSME100166,706000.0,60,14.25,4192000.0,0.58,621,Manufacturing,148000.0,2,2.1,Bridge a seasonal cash crunch ahead of festival demand,Karnataka,Male,1,0
MSME100167,1293000.0,48,17.17,6591000.0,1.41,688,IT Services,674000.0,0,3.4,Expand textile weaving unit with additional looms,Kerala,Male,25,0
MSME100168,315000.0,24,13.92,1149000.0,2.2,606,Logistics,400000.0,0,4.4,Open a second retail outlet in the district,Tamil Nadu,Male,14,1
MSME100169,1126000.0,48,10.21,5933000.0,1.24,747,Textiles,1614000.0,2,5.7,Purchase of new machinery to expand production capacity,Gujarat,Female,23,0
MSME100170,2136000.0,48,10.41,11306000.0,1.02,644,IT Services,618000.0,2,5.1,Bridge a seasonal cash crunch ahead of festival demand,Gujarat,Male,31,1
MSME100171,479000.0,24,15.11,2128000.0,1.23,698,Retail Trade,304000.0,0,3.0,Purchase of new machinery to expand production capacity,Uttar Pradesh,Female,2,1
MSME100172,117000.0,36,16.06,567000.0,0.49,636,IT Services,130000.0,0,6.2,Bridge a seasonal cash crunch ahead of festival demand,Tamil Nadu,Male,26,0
MSME100173,453000.0,12,10.11,2252000.0,1.06,652,IT Services,643000.0,0,3.2,Emergency funds after delayed receivables from buyers,Gujarat,Male,14,0
MSME100174,522000.0,60,10.79,1838000.0,1.86,807,Manufacturing,544000.0,1,4.7,Open a second retail outlet in the district,Tamil Nadu,Male,41,0
MSME100175,1089000.0,12,8.28,3635000.0,2.46,736,Logistics,400000.0,1,0.8,Emergency funds after delayed receivables from buyers,Gujarat,Male,39,0
MSME100176,724000.0,12,18.11,1736000.0,1.2,782,Textiles,956000.0,0,5.1,Upgrade delivery fleet and cold-storage units,Tamil Nadu,Female,36,0
MSME100177,640000.0,24,9.91,3557000.0,2.97,655,Retail Trade,575000.0,1,1.7,Open a second retail outlet in the district,Gujarat,Male,31,0
