applicant_age,personal_sex,credit_duration_months,credit_amount,purpose,employment_years,num_existing_credits,savings_status,installment_rate_pct,credit_risk
49,male,12,3448.0,car,2.8,2,100-500,2,1
68,male,12,820.0,radio/tv,3.3,0,unknown,4,2
54,male,6,5370.0,radio/tv,2.5,1,>1000,1,1
33,male,6,4138.0,education,4.4,1,<100,3,1
50,male,12,3256.0,radio/tv,3.2,0,500-1000,2,1
38,male,12,7880.0,business,3.7,1,500-1000,4,1
48,female,24,5695.0,furniture,2.7,1,500-1000,1,2
20,male,12,7643.0,radio/tv,2.1,0,<100,3,2
53,female,12,7494.0,repairs,3.8,0,<100,4,1
44,female,36,3030.0,car,2.5,0,500-1000,1,2
46,male,24,7942.0,radio/tv,1.5,0,>1000,3,2
67,male,12,3652.0,education,1.2,1,>1000,2,2
25,male,36,3877.0,repairs,6.6,1,>1000,2,2
40,male,18,3361.0,repairs,4.0,1,unknown,4,1
57,male,48,3349.0,radio/tv,1.1,0,100-500,4,2
33,male,36,4399.0,business,9.5,0,100-500,4,2
19,male,18,3841.0,business,13.0,0,unknown,2,2
20,male,48,6157.0,repairs,2.7,1,>1000,2,2
39,male,18,1003.0,furniture,5.5,0,500-1000,1,2
40,female,36,2011.0,radio/tv,0.8,1,unknown,1,2
68,male,6,2099.0,radio/tv,6.9,0,<100,4,1
64,female,12,5769.0,furniture,3.2,0,100-500,2,2
70,female,24,2130.0,radio/tv,1.6,0,>1000,3,2
46,female,18,3799.0,car,16.8,0,>1000,3,1
55,male,36,1946.0,education,0.9,0,>1000,2,2
29,female,48,8931.0,furniture,7.4,1,500-1000,1,2
38,female,18,6775.0,radio/tv,2.8,1,100-500,4,2
41,male,36,971.0,repairs,2.9,0,>1000,3,1
42,male,6,1502.0,education,6.6,1,unknown,2,1
64,male,36,2042.0,education,3.3,0,<100,4,1
21,male,36,2280.0,repairs,7.0,1,<100,2,2
25,male,48,3435.0,education,1.0,1,>1000,2,2
33,male,48,2583.0,furniture,1.2,1,<100,4,2
53,male,12,1530.0,radio/tv,7.6,0,500-1000,1,1
65,male,36,3796.0,education,1.5,1,unknown,1,1
36,male,24,3409.0,furniture,3.8,0,unknown,3,2
70,male,12,1090.0,car,3.6,0,<100,3,1
23,male,48,1221.0,radio/tv,1.5,0,500-1000,4,2
28,male,18,5661.0,radio/tv,3.3,0,500-1000,2,2
43,male,48,1292.0,furniture,5.7,0,500-1000,4,2
51,female,24,4532.0,radio/tv,2.5,1,<100,4,2
32,male,6,3949.0,repairs,4.2,1,>1000,3,2
25,male,18,3655.0,education,2.3,0,>1000,4,2
64,male,36,2553.0,radio/tv,4.2,1,<100,3,2
35,female,36,4366.0,repairs,1.6,0,unknown,1,2
70,female,6,3493.0,repairs,1.2,0,<100,4,2
62,male,24,6186.0,business,9.3,0,100-500,4,2
26,female,6,2300.0,business,10.0,0,unknown,2,1
36,male,18,2919.0,repairs,11.6,1,unknown,3,1
22,male,48,1975.0,business,5.3,0,unknown,2,1
57,male,12,1656.0,radio/tv,2.3,0,<100,4,1
28,female,24,3359.0,repairs,3.3,0,100-500,3,2
40,male,18,4077.0,radio/tv,9.3,1,<100,4,2
58,male,18,1957.0,repairs,0.7,0,>1000,4,1
71,male,6,2011.0,repairs,2.0,0,500-1000,1,1
26,male,18,1933.0,repairs,2.5,0,500-1000,2,1
60,male,48,1759.0,repairs,0.9,0,unknown,2,2
32,male,48,4895.0,radio/tv,7.2,3,unknown,1,1
70,female,48,3570.0,radio/tv,4.3,0,<100,3,2
51,male,24,1868.0,radio/tv,6.0,2,unknown,4,2
46,male,6,10981.0,business,6.3,2,unknown,2,1
22,male,12,3831.0,furniture,5.3,0,100-500,3,1
21,male,48,3412.0,business,3.3,1,<100,2,2
49,female,12,7339.0,business,4.8,0,unknown,4,2
63,male,18,2369.0,repairs,1.7,0,100-500,2,1
33,male,24,2965.0,education,4.3,3,100-500,1,2
51,female,36,4663.0,radio/tv,7.3,3,>1000,2,2
64,female,18,4423.0,radio/tv,4.4,2,unknown,1,1
24,male,36,2846.0,furniture,3.3,2,>1000,1,2
54,male,24,6782.0,education,5.8,0,500-1000,2,1
32,male,48,1142.0,car,3.2,0,unknown,1,1
43,male,12,7884.0,business,4.4,1,<100,2,2
63,male,48,1609.0,furniture,9.5,1,100-500,2,2
36,male,36,3355.0,car,2.0,0,>1000,2,1
37,male,24,865.0,business,2.7,0,unknown,2,1
56,male,6,1470.0,business,7.3,0,<100,2,1
28,female,24,2221.0,car,1.4,0,unknown,3,1
36,male,12,2570.0,radio/tv,2.9,0,500-1000,3,1
24,female,24,3245.0,repairs,3.7,0,100-500,3,1
23,male,36,3850.0,radio/tv,5.2,1,unknown,2,1
27,male,6,2561.0,repairs,3.9,0,unknown,3,1
53,male,36,2987.0,repairs,5.5,0,500-1000,1,2
60,male,48,7777.0,repairs,1.2,0,100-500,3,2
71,male,24,7554.0,business,6.6,0,<100,4,2
67,male,6,3443.0,radio/tv,6.8,1,>1000,3,2
20,female,48,4079.0,car,3.8,2,<100,2,2
71,female,12,1255.0,business,1.5,0,>1000,4,2
36,female,24,2626.0,car,6.5,0,100-500,4,2
55,male,6,1904.0,furniture,2.0,1,>1000,4,2
19,female,18,4212.0,education,7.3,0,unknown,2,1
29,female,6,3370.0,education,2.3,0,500-1000,3,1
43,male,36,7611.0,education,2.2,0,<100,1,2
19,male,48,6028.0,radio/tv,1.4,0,500-1000,3,2
35,male,36,3580.0,repairs,1.5,0,100-500,3,2
57,female,24,6236.0,radio/tv,1.5,1,<100,1,1
22,female,36,2030.0,car,2.0,1,100-500,1,2
56,female,24,3599.0,radio/tv,8.9,1,unknown,1,1
55,female,24,975.0,radio/tv,7.0,1,>1000,4,1
26,male,18,6508.0,repairs,3.6,0,500-1000,3,2
69,female,48,2688.0,repairs,6.8,1,unknown,2,2
38,male,24,7424.0,education,5.2,0,unknown,4,2
45,male,6,1690.0,radio/tv,7.0,0,>1000,2,1
20,male,24,3987.0,education,2.6,0,500-1000,3,1
64,female,6,1881.0,furniture,1.3,0,<100,3,1
70,male,6,2540.0,radio/tv,0.9,0,100-500,4,1
50,male,12,4271.0,repairs,7.0,1,100-500,4,2
52,male,18,2847.0,furniture,14.9,1,>1000,1,1
42,male,6,11511.0,business,6.3,1,<100,3,2
25,male,36,1634.0,repairs,10.6,1,>1000,1,2
45,female,48,1506.0,car,8.1,0,<100,4,2
21,male,18,3142.0,radio/tv,2.4,0,>1000,2,1
58,male,12,1956.0,car,1.5,1,unknown,1,2
68,female,24,4565.0,car,1.9,0,unknown,1,2
36,male,36,3763.0,radio/tv,8.8,0,>1000,4,2
61,female,36,1951.0,education,6.6,1,>1000,4,2
54,male,6,1495.0,car,9.0,3,unknown,3,2
31,male,18,1615.0,car,5.7,0,100-500,2,1
26,male,12,3412.0,repairs,4.4,1,100-500,2,1
46,male,24,4209.0,education,1.7,0,100-500,2,2
31,male,18,2496.0,furniture,0.8,0,100-500,4,2
35,male,6,3634.0,repairs,6.0,0,<100,1,1
22,male,36,1651.0,car,2.2,2,500-1000,3,2
26,female,6,4869.0,business,3.5,0,500-1000,4,2
42,female,18,3110.0,furniture,2.0,1,100-500,4,2
31,female,18,3614.0,radio/tv,10.4,1,100-500,1,2
28,male,24,1134.0,repairs,3.3,2,>1000,2,1
49,male,48,2167.0,business,0.7,0,>1000,4,2
20,male,48,2411.0,business,2.9,0,500-1000,3,2
65,female,6,5950.0,repairs,6.5,2,500-1000,4,2
19,female,6,2895.0,education,2.7,0,unknown,2,1
57,female,36,3506.0,furniture,9.7,1,<100,3,2
48,female,48,725.0,radio/tv,3.3,1,>1000,2,1
31,female,24,1770.0,car,4.3,0,100-500,4,2
33,female,48,1206.0,car,6.6,0,500-1000,2,2
26,male,48,4151.0,radio/tv,4.6,0,>1000,2,2
42,female,12,7094.0,radio/tv,6.5,0,<100,1,1
56,male,18,2423.0,furniture,5.8,0,unknown,4,2
71,female,12,1929.0,radio/tv,2.6,0,unknown,1,1
22,male,6,2311.0,radio/tv,9.4,0,unknown,2,1
22,male,12,1585.0,repairs,2.6,1,500-1000,3,1
27,female,12,3063.0,repairs,3.2,0,unknown,4,2
34,male,12,2053.0,radio/tv,1.8,0,100-500,1,1
54,male,18,1098.0,repairs,2.7,0,unknown,1,1
56,female,24,2662.0,radio/tv,3.9,1,>1000,4,2
20,male,18,4908.0,radio/tv,1.5,1,500-1000,1,1
42,female,12,4127.0,repairs,2.1,0,unknown,3,2
57,male,24,4835.0,radio/tv,2.2,1,500-1000,2,2
47,male,48,3355.0,radio/tv,5.2,0,unknown,1,2
36,male,18,5605.0,business,2.4,0,500-1000,2,2
47,female,36,6883.0,car,0.7,0,500-1000,1,2
51,male,18,5653.0,repairs,1.7,0,100-500,1,1
42,male,6,2232.0,education,2.2,0,100-500,2,1
36,male,36,1808.0,car,1.7,0,unknown,4,1
22,male,36,3611.0,business,8.3,0,unknown,2,2
24,male,6,14353.0,furniture,6.5,0,>1000,1,2
52,female,6,1346.0,business,0.6,1,unknown,4,2
41,male,12,1870.0,education,10.4,1,>1000,2,1
64,male,36,2100.0,education,9.1,0,100-500,1,2
38,female,18,2540.0,education,1.9,0,>1000,3,1
30,male,36,1767.0,repairs,2.5,2,unknown,1,2
28,male,12,2397.0,radio/tv,5.6,0,<100,2,1
71,male,24,3482.0,repairs,4.7,0,<100,4,2
31,male,36,4259.0,furniture,3.0,0,100-500,2,1
28,male,18,4380.0,education,1.1,0,<100,2,2
38,male,48,5216.0,repairs,2.1,0,unknown,4,2
57,female,18,938.0,car,1.4,0,unknown,2,1
54,male,18,2206.0,furniture,5.1,0,500-1000,4,1
54,female,48,10415.0,business,2.0,0,<100,3,2
63,male,6,4850.0,furniture,5.6,0,>1000,3,1
42,male,18,1455.0,radio/tv,2.2,1,500-1000,3,2
45,female,24,1279.0,education,3.1,0,500-1000,2,2
68,female,24,3182.0,business,3.9,0,unknown,1,2
43,male,18,1760.0,education,4.8,0,100-500,4,2
50,male,18,5285.0,car,5.1,1,>1000,3,1
39,female,24,5872.0,radio/tv,7.6,2,100-500,4,2
24,male,18,10816.0,repairs,1.8,2,>1000,1,2
29,male,48,5023.0,car,4.6,0,100-500,1,1
45,female,12,4940.0,furniture,3.1,1,<100,3,2
58,male,6,2344.0,business,6.7,1,100-500,3,2
57,male,6,4093.0,furniture,1.7,0,>1000,1,1
47,male,24,3556.0,car,3.6,1,500-1000,4,1
43,male,18,2819.0,car,4.0,0,unknown,2,2
58,male,12,3809.0,repairs,1.6,1,unknown,4,1
68,female,48,1071.0,education,2.7,0,100-500,1,2
68,male,6,2924.0,radio/tv,0.3,1,<100,1,1
57,female,36,1477.0,car,5.9,1,500-1000,4,1
21,male,18,2848.0,furniture,4.4,0,unknown,1,1
69,female,12,1125.0,business,4.0,0,500-1000,2,1
29,male,18,4795.0,furniture,4.4,0,>1000,3,2
55,male,6,2961.0,radio/tv,4.8,0,500-1000,3,2
30,male,24,6271.0,radio/tv,2.9,0,unknown,1,1
47,female,18,783.0,radio/tv,5.7,0,<100,1,1
59,male,48,11597.0,repairs,4.9,0,unknown,2,2
56,female,48,8911.0,repairs,1.9,1,<100,4,2
29,female,48,1769.0,car,2.9,1,>1000,1,1
31,male,36,1936.0,education,3.2,0,<100,2,1
46,female,12,3066.0,repairs,11.6,0,100-500,3,2
37,male,12,4476.0,car,3.3,1,unknown,3,2
48,female,6,3022.0,education,1.6,0,100-500,1,2
29,male,18,1776.0,furniture,1.1,0,500-1000,3,2
66,female,48,5641.0,business,6.5,0,500-1000,3,2
37,male,18,1226.0,education,3.7,1,>1000,2,2
68,male,12,3528.0,radio/tv,0.8,1,500-1000,3,1
31,male,24,3135.0,business,3.1,0,100-500,2,1
21,male,6,10594.0,radio/tv,5.7,0,<100,3,2
19,female,12,699.0,furniture,4.0,0,<100,1,1
39,male,36,3384.0,furniture,2.7,0,<100,1,1
59,male,24,3953.0,car,1.8,1,500-1000,2,1
24,female,24,3801.0,radio/tv,4.4,0,<100,1,1
32,male,48,3933.0,education,6.5,0,unknown,4,2
26,male,24,1279.0,education,3.1,2,<100,2,2
28,male,12,3201.0,furniture,0.5,0,500-1000,1,1
57,male,12,1263.0,repairs,2.2,0,<100,4,2
22,male,48,2633.0,radio/tv,3.7,0,500-1000,3,1
58,male,6,5593.0,radio/tv,5.0,1,<100,3,2
43,male,12,2604.0,furniture,3.2,0,<100,2,1
43,male,36,2203.0,education,4.4,2,>1000,1,2
29,male,6,1475.0,radio/tv,6.5,1,500-1000,4,2
53,male,6,2958.0,education,1.0,0,<100,3,1
32,male,36,2263.0,radio/tv,5.2,0,>1000,3,1
41,male,18,1900.0,repairs,5.9,0,unknown,3,1
26,male,36,5103.0,repairs,1.0,1,500-1000,1,2
26,female,12,953.0,business,7.5,0,unknown,1,1
35,male,6,3521.0,business,2.8,0,<100,2,2
46,male,12,5219.0,car,2.6,0,100-500,4,2
58,male,18,1112.0,car,0.4,0,unknown,4,1
64,male,36,2278.0,education,10.3,0,<100,4,2
31,male,48,4330.0,car,4.6,1,500-1000,2,1
31,male,12,4565.0,furniture,1.4,2,unknown,2,2
35,female,24,4477.0,education,1.9,0,500-1000,4,2
69,male,36,5607.0,repairs,3.7,2,unknown,2,2
34,male,6,2214.0,furniture,3.9,0,unknown,1,1
47,male,6,8716.0,education,8.2,1,100-500,1,1
42,male,48,1280.0,education,4.5,0,unknown,4,2
67,female,36,1543.0,car,3.0,0,500-1000,3,1
24,male,12,2854.0,repairs,5.4,0,500-1000,1,2
58,female,18,1359.0,business,2.6,1,unknown,2,2
48,female,48,2414.0,business,4.1,0,unknown,1,1
55,male,6,914.0,business,6.8,0,unknown,1,2
38,male,6,3824.0,radio/tv,2.8,0,>1000,1,1
59,male,48,2423.0,radio/tv,1.7,0,100-500,4,2
68,male,24,1383.0,business,2.7,1,500-1000,4,1
41,female,18,3983.0,car,0.9,0,500-1000,3,1
65,male,36,1703.0,car,1.3,1,unknown,3,1
70,female,18,8545.0,business,1.0,0,<100,2,2
41,male,36,3981.0,business,6.5,0,<100,1,2
46,male,18,8128.0,radio/tv,4.7,0,500-1000,4,2
42,male,24,6147.0,repairs,5.3,1,>1000,2,2
54,female,18,3864.0,repairs,0.7,0,100-500,3,1
45,male,36,2464.0,radio/tv,1.3,0,500-1000,1,2
29,male,36,925.0,education,2.7,0,unknown,3,1
58,male,48,3257.0,business,1.7,2,100-500,1,2
24,female,24,2964.0,furniture,7.8,0,100-500,2,2
46,female,18,1004.0,radio/tv,4.6,0,100-500,3,1
40,male,48,3414.0,education,6.5,0,500-1000,1,1
54,female,48,2818.0,education,17.6,1,>1000,1,2
68,male,48,3570.0,radio/tv,4.8,1,<100,1,2
39,male,24,4189.0,car,1.7,0,500-1000,1,1
68,male,12,2090.0,radio/tv,5.7,1,>1000,3,2
41,male,24,3962.0,business,0.7,0,<100,3,2
35,male,36,3327.0,business,6.9,0,<100,3,1
55,male,24,1903.0,car,1.1,1,<100,4,2
46,female,18,6178.0,business,6.2,0,>1000,2,1
59,male,24,5635.0,radio/tv,5.2,1,500-1000,2,2
23,male,24,2077.0,repairs,2.4,0,unknown,4,2
45,male,24,528.0,education,5.1,0,unknown,3,2
63,female,18,6769.0,car,3.4,0,100-500,2,1
20,female,18,2858.0,business,5.9,0,<100,1,1
42,male,18,3215.0,education,3.7,0,unknown,3,1
35,male,36,3881.0,radio/tv,1.2,0,<100,2,2
37,male,12,6810.0,education,7.7,1,100-500,3,1
48,male,6,2130.0,education,6.1,0,100-500,3,1
36,female,6,2112.0,radio/tv,3.7,0,500-1000,1,1
69,male,12,2366.0,furniture,6.2,1,>1000,4,1
61,male,12,2128.0,radio/tv,3.3,1,500-1000,2,1
42,male,24,2981.0,business,4.1,0,500-1000,2,2
60,female,48,4682.0,repairs,2.2,0,500-1000,3,2
49,male,18,1285.0,business,2.2,0,unknown,4,2
45,male,6,1015.0,repairs,4.8,0,100-500,2,1
36,female,36,3676.0,business,1.3,0,>1000,1,2
46,female,36,4060.0,radio/tv,3.5,0,500-1000,3,2
29,female,36,6626.0,car,2.6,1,<100,4,2
49,male,48,1747.0,car,0.6,1,>1000,1,2
32,male,48,1856.0,car,1.7,1,500-1000,1,2
63,male,6,3960.0,car,7.7,1,500-1000,3,2
38,male,12,4105.0,business,4.4,1,100-500,4,1
70,male,6,2989.0,business,2.9,0,500-1000,3,1
71,male,48,2698.0,car,6.0,0,100-500,4,2
44,male,24,2376.0,business,4.3,0,500-1000,2,2
51,male,12,2257.0,repairs,3.4,1,500-1000,2,2
63,female,18,4822.0,radio/tv,5.4,0,500-1000,2,2
64,male,18,5660.0,car,2.6,1,<100,1,1
26,male,6,4306.0,education,6.4,0,500-1000,2,2
64,male,36,2025.0,business,0.8,0,500-1000,2,1
58,male,18,2651.0,radio/tv,2.8,0,unknown,4,2
55,male,12,5546.0,education,1.4,0,500-1000,4,1
20,male,24,2494.0,repairs,3.2,1,500-1000,4,2
21,male,18,2714.0,repairs,7.1,1,unknown,3,1
63,male,6,4534.0,car,4.9,1,<100,1,1
21,female,36,1234.0,car,3.5,0,500-1000,3,1
44,male,6,1148.0,furniture,2.4,1,100-500,4,2
58,female,12,2009.0,education,5.6,0,500-1000,2,1
60,male,12,9246.0,repairs,4.6,1,unknown,2,2
20,female,18,1220.0,furniture,4.2,1,<100,2,1
39,female,6,4432.0,furniture,2.5,0,<100,1,2
34,male,18,2261.0,car,3.7,0,unknown,4,2
56,female,6,2538.0,business,0.8,0,unknown,2,1
57,male,48,3694.0,car,2.2,0,>1000,1,2
25,male,48,2095.0,furniture,3.5,0,500-1000,2,1
50,female,24,2595.0,car,11.1,1,unknown,1,1
54,male,18,2342.0,repairs,0.8,0,500-1000,3,2
44,male,18,2037.0,radio/tv,1.3,0,>1000,4,2
46,male,18,2867.0,repairs,21.3,0,100-500,1,1
26,female,36,2657.0,education,4.0,0,500-1000,3,1
59,male,6,2292.0,repairs,9.0,2,500-1000,2,1
70,male,12,5620.0,furniture,1.2,1,500-1000,4,2
42,male,36,2590.0,furniture,1.5,0,unknown,4,2
47,male,48,12037.0,repairs,11.4,0,>1000,1,2
36,male,18,2703.0,furniture,3.9,0,unknown,2,2
42,male,36,5564.0,business,4.2,0,100-500,3,2
53,male,48,3101.0,furniture,0.4,1,>1000,2,2
66,male,24,3803.0,car,7.5,0,>1000,1,2
20,female,24,4621.0,education,2.2,0,500-1000,1,1
30,female,24,2758.0,business,8.0,1,unknown,4,2
48,female,6,3734.0,repairs,1.9,0,100-500,2,1
70,male,6,2115.0,car,13.4,0,500-1000,4,1
42,male,48,1756.0,business,1.8,2,100-500,2,2
25,female,12,2633.0,education,1.5,0,>1000,1,1
54,male,36,1840.0,car,1.8,0,>1000,3,2
45,male,36,3016.0,furniture,3.1,1,100-500,3,2
20,male,12,1405.0,repairs,5.7,0,unknown,1,1
70,male,36,4635.0,car,4.3,3,<100,3,2
69,male,24,8506.0,car,7.8,0,<100,1,2
71,male,24,5243.0,repairs,15.8,1,500-1000,4,2
58,male,18,5184.0,education,4.2,0,<100,2,2
53,male,12,1223.0,education,4.6,1,100-500,2,1
58,male,6,4243.0,education,1.2,0,100-500,1,1
23,male,18,2615.0,repairs,7.2,0,<100,3,1
23,male,18,7444.0,repairs,11.1,0,500-1000,4,2
36,male,48,1747.0,car,3.9,0,<100,2,1
28,male,18,3988.0,business,3.5,0,100-500,3,1
25,female,48,6016.0,radio/tv,1.8,0,unknown,1,1
23,female,18,3764.0,repairs,2.5,0,500-1000,2,2
53,male,6,1368.0,education,5.2,1,>1000,3,2
70,female,48,3131.0,business,6.1,0,100-500,4,2
66,male,48,4922.0,radio/tv,2.3,0,100-500,1,2
32,male,24,2076.0,repairs,4.7,0,<100,3,2
46,female,18,2065.0,furniture,0.9,0,<100,2,2
27,male,24,2636.0,car,1.8,0,<100,3,2
25,male,24,1675.0,repairs,2.1,2,500-1000,4,2
52,male,48,3203.0,radio/tv,10.0,1,<100,2,2
44,male,36,1539.0,car,1.3,0,<100,1,1
19,male,24,2998.0,furniture,6.9,0,<100,3,1
65,female,18,1305.0,repairs,1.8,0,>1000,3,1
56,male,48,4909.0,education,0.4,0,unknown,3,2
57,male,6,5792.0,radio/tv,0.8,1,unknown,2,2
66,male,24,7627.0,repairs,11.5,0,>1000,4,2
47,female,6,5308.0,repairs,3.9,0,>1000,3,2
58,female,48,1164.0,business,2.3,0,500-1000,2,2
36,male,36,1415.0,radio/tv,2.2,0,unknown,3,1
37,male,24,1626.0,car,4.8,1,unknown,1,1
33,male,18,1580.0,furniture,3.7,0,unknown,3,2
24,female,6,2585.0,radio/tv,3.5,0,>1000,1,2
28,female,18,4093.0,business,2.7,0,100-500,3,1
54,male,24,984.0,education,8.3,1,unknown,2,1
24,male,18,4381.0,repairs,14.4,0,100-500,2,2
33,male,48,9603.0,business,5.5,0,100-500,3,2
43,male,6,2467.0,business,0.4,1,500-1000,4,2
29,male,24,3791.0,business,1.1,0,500-1000,3,2
69,male,6,5867.0,repairs,3.0,3,<100,3,2
66,male,18,2845.0,furniture,3.9,0,unknown,2,2
37,male,6,6966.0,education,4.9,0,500-1000,4,2
22,male,18,2884.0,furniture,7.4,0,500-1000,1,1
66,male,6,2607.0,education,6.4,0,unknown,3,1
22,male,6,4227.0,car,4.0,0,<100,3,2
25,female,36,2044.0,repairs,2.0,1,unknown,4,2
59,female,24,3777.0,car,3.8,1,>1000,1,2
19,male,24,1187.0,car,7.7,1,unknown,1,1
51,male,48,1676.0,furniture,5.3,2,>1000,4,2
28,male,24,4342.0,radio/tv,3.9,2,>1000,3,2
68,male,12,2846.0,radio/tv,0.4,1,100-500,3,2
29,female,6,2568.0,education,1.3,0,unknown,2,2
41,female,36,9498.0,repairs,8.0,1,100-500,1,2
46,female,18,3757.0,radio/tv,3.7,0,>1000,4,2
63,female,12,8000.0,car,4.5,0,>1000,3,2
40,male,36,4722.0,repairs,0.9,1,<100,3,2
39,male,24,3237.0,education,1.5,1,<100,4,2
24,male,6,1896.0,business,2.1,0,100-500,2,1
52,female,18,1973.0,education,2.3,1,500-1000,4,1
44,female,12,1487.0,radio/tv,8.7,1,unknown,4,2
32,male,18,970.0,furniture,9.3,0,500-1000,1,2
67,female,36,3906.0,business,5.7,0,>1000,1,2
51,male,36,2856.0,repairs,6.7,0,100-500,1,2
63,male,18,4966.0,business,1.1,0,>1000,1,1
45,male,24,1514.0,repairs,9.7,0,>1000,4,1
